product_id,product_code,barcode,product_name,category,unit,cost_price,selling_price,min_stock,image_url,active,count_status
ca577ff9-5507-4a7a-9a39-6de2c31a0885,M0035,,Martell XO,MAT-Brandy,bottle(700),"8,802.99",0,0,,FALSE,excluded
623da782-f28d-4c63-b477-24f6d43b1ace,M0036,,Hennessy XO,MAT-Brandy,bottle(700),"8,752.31",0,0,,TRUE,active
dbf04f88-37a6-4d38-a06d-5a709061eefe,M0091,,Regency (500ml),MAT-Brandy,bottle(500),580,0,0,,TRUE,active
41dcadb0-ce2c-457b-8368-8b3eb8c10c81,M0130,,Hundred reserve,MAT-Brandy,bottle(750),564.6,0,0,,TRUE,excluded
75b5bcdf-8921-4406-bcd1-a00d8747664f,M0230,,Remy Vsop,MAT-Brandy,Bottle (700MI),"2,821.98",0,0,,FALSE,excluded
51711c3d-b092-4b73-9fea-90ffe2227f91,M0231,,Remy XO,MAT-Brandy,Bottle (700MI),"9,897.16",0,0,,FALSE,excluded
6cdb02c5-3a82-464d-9c21-980d65d8a010,M1153,,Louis XIII,MAT-Brandy,bottle(750),"170,000.03",0,0,,FALSE,excluded
863e6e53-957d-4bab-8541-99fc2903c09c,M00182,,D rock Brut,MAT-Champagne,bottle(750),"9,432.00",0,0,,FALSE,excluded
8adbc8d0-ece5-4ad7-9ebb-538718dba408,M00183,,D rock Rose,MAT-Champagne,bottle(750),"14,021.03",0,0,,FALSE,excluded
6c5b6dbe-106e-44b7-9899-ea99b99bc285,M00184,,Dom Perginon Rose Luminas,MAT-Champagne,bottle(750),"14,880.00",0,0,,FALSE,excluded
5c24cc8f-ba84-4379-b549-cecafdb8df0b,M0053,,Desir Champagne Brut,MAT-Champagne,bottle(750),"2,484.00",0,0,,TRUE,active
887082a5-c269-44b5-b93a-64a5a249a6db,M0054,,Moet & Chandon Brut Imperial,MAT-Champagne,bottle(750),"1,877.03",0,0,,TRUE,active
496c22ac-6282-4ab0-9f1f-2a89ca345ba4,M0055,,Dom Perginon Luminas,MAT-Champagne,bottle(750),"10,184.03",0,0,,TRUE,active
f3f2e747-b076-4b6d-baca-a46a6d953769,M0056,,Louis Roederer Cristal,MAT-Champagne,bottle(750),"9,999.98",0,0,,TRUE,active
81a96607-37cd-4489-b660-d63944b86dc0,M0057,,Armand De Brignac Brut Gold,MAT-Champagne,bottle(750),"16,457.03",0,0,,FALSE,active
f99e4921-9174-45f0-be2a-082697d4c206,M0180,,Moet mini,MAT-Champagne,bottle(200),0,0,0,,FALSE,excluded
295fdc21-3c39-493b-a580-e44d1d44c0e5,M0181,,Moet & Chandon Brut Imperial EX1.5,MAT-Champagne,Bottle (1.500),"4,129.50",0,0,,FALSE,excluded
a4e8f2dc-ea0f-4cd6-ae04-51ecf3663f15,M0182,,Moet & Chandon ICE,MAT-Champagne,ขวด,"2,464.00",0,0,,FALSE,excluded
995c77b3-3207-4394-a940-7bd38ce16225,M0129,,X-rate,MAT-General,bottle(750),0,0,0,,FALSE,excluded
6de58f3f-3fb6-4550-8c5d-a5670c28d5fc,M0001,,Bombay,MAT-Gin,Bottle(700MI),"1,092.98",0,0,,TRUE,active
aaa42a12-73b5-4462-a46c-3a4ce31c4529,M0003,,Lady Trieu,MAT-Gin,bottle(750),1.8,0,0,,FALSE,excluded
7781a302-7f42-4b54-a181-c6c9acaf9d88,M0004,,Tanqueray No.10,MAT-Gin,bottle(750),"1,695.98",0,0,,TRUE,active
8c6777a7-5672-4d58-a309-eb6b4da0ef35,M0005,,Hendricks Gin,MAT-Gin,bottle(700),"1,901.90",0,0,,TRUE,active
715e3c51-c4f8-4338-81af-5f4fbf4d51c1,M0006,,Monkey 47,MAT-Gin,bottle(500),"1,934.40",0,0,,TRUE,active
6f2b1698-6909-428b-bb1e-a0f685342364,M0007,,No.3 London Dry Gin,MAT-Gin,bottle(700),"2,824.01",0,0,,TRUE,active
669ad81d-b80b-47fb-b825-474ee8c2cc45,M0094,,Gilbeys Gin,MAT-Gin,bottle(1000),435,0,0,,TRUE,excluded
c8f706cf-61ea-4808-a46a-c06e305b9e6d,M0194,,Tanqueray,MAT-Gin,Bottle(700MI),"1,060.99",0,0,,FALSE,excluded
ed94dcb2-f97d-4e88-9dcb-adee23c3c017,M1100,,Saneha,MAT-Gin,Bottle(700MI),0,0,0,,FALSE,excluded
ea05a9c9-be6c-4ecc-b1fc-01233306cf9e,M0084,,Orange Juice,MAT-Juice,bottle(1000),0,0,0,,FALSE,excluded
c3787286-6b1b-4445-bc15-e15f5d835668,M0085,,Cranberry Juice,MAT-Juice,bottle(1000),0,0,0,,TRUE,excluded
01ad3086-98ff-43c0-af8d-ee06de727787,M0087,,Pineapple Juice,MAT-Juice,bottle(1000),0,0,0,,TRUE,excluded
6b6c4cc1-c129-4a02-8a49-09f2e2612262,M0088,,Orange Juice,MAT-Juice,bottle(1000),0,0,0,,FALSE,excluded
fca4b129-f727-400b-89ed-c94f234ab12a,M0089,,Passionfruit Juice,MAT-Juice,bottle(1000),0,0,0,,FALSE,excluded
d93635f7-57dd-47fa-82b0-d0c218819f2f,M0098,,Apple Juice,MAT-Juice,bottle(1000),0,0,0,,FALSE,excluded
d386be37-308c-46e1-ae7e-8721c6e80629,M0113,,Pink Grapefruit,MAT-Juice,bottle(750),0,0,0,,FALSE,excluded
3e27add6-3579-48ca-8c88-ae1c2415e487,M0120,,Fresh Lime,MAT-Juice,bottle(750),0,0,0,,FALSE,excluded
e3ef5741-6d67-4f60-a584-790d7f55bb74,M0121,,Lime Juice,MAT-Juice,bottle(750),0,0,0,,TRUE,excluded
1b6daede-74b3-41db-8396-6597abd99349,M0122,,Coconut Milk,MAT-Juice,bottle(750),0,0,0,,TRUE,excluded
0f32f557-e4fb-4120-96d7-6d52344db1cc,M00169,,Benedictine D.o.m,MAT-Lique,bottle(700),"1,750.00",0,0,,FALSE,excluded
84ac502a-acdd-41f8-9fa4-787f7cb3854f,M00170,,Hendrick's Grand Cabaret,MAT-Lique,bottle(700),"1,957.97",0,0,,FALSE,excluded
c40002c3-5a56-44a3-87b9-997a473be2af,M00171,,Cherry Herring,MAT-Lique,Bottle(700MI),"1,350.02",0,0,,FALSE,excluded
191dd716-4fe6-43aa-a3e9-d56661df0587,M00172,,Luxardo Marachino,MAT-Lique,bottle(1000),"1,486.00",0,0,,FALSE,excluded
654bf03e-2a7d-4bae-8cc4-772bf9762d95,M00173,,Peach schnapps H.W.,MAT-Lique,bottle(750),0,0,0,,FALSE,excluded
cb2af5a0-9299-4870-9d22-faa92efb7e55,M0116,,Cointreu,MAT-Lique,bottle(700),949.97,0,0,,TRUE,excluded
817c2d47-4ea4-4172-b06b-4095f1d072fd,M0119,,Malibu,MAT-Lique,bottle(750),"1,257.00",0,0,,TRUE,excluded
114e0d2e-6373-4977-96cd-c8dc302c09ed,M0134,,Baileys,MAT-Lique,bottle(750),995.03,0,0,,FALSE,excluded
88483985-b1d3-4ac1-8209-87a1face84fa,M0135,,Kahlua,MAT-Lique,bottle(700),"1,228.99",0,0,,FALSE,excluded
d18b4042-4d2f-4a22-b572-be3d22f31b72,M0137,,H.W Peach Snapps Liqueur,MAT-Lique,bottle(750),188.85,0,0,,FALSE,excluded
0ec7faab-4a93-472d-8e35-3367e3c7506d,M0150,,Disaronno Liqueur,MAT-Lique,bottle(700),8.89,0,0,,TRUE,excluded
621eec0f-21d6-4edc-b7fa-6d06cad3d04d,M0155,,Giffard Blue,MAT-Lique,Bottle(700MI),0,0,0,,FALSE,excluded
4a63134e-769a-4f0e-84ae-d3115489d72f,M0156,,Giffard apple,MAT-Lique,Bottle(700MI),0,0,0,,FALSE,excluded
e3ed5509-4f68-4242-9b37-df86c77dd202,M0157,,Giffard Cherry,MAT-Lique,Bottle(700MI),0,0,0,,FALSE,excluded
f700eb15-f5bc-450b-a517-a73a3e0c6be8,M0158,,Giffard Lilchee,MAT-Lique,Bottle(700MI),0,0,0,,FALSE,excluded
7b9df90b-2d82-45e4-88b4-e9b4befabcca,M0159,,Giffard Cassis,MAT-Lique,Bottle(700MI),0,0,0,,FALSE,excluded
f99c88fb-98e7-4ad2-af46-e46564b9351c,M0160,,Bols Dry Orange,MAT-Lique,Bottle(700MI),0,0,0,,FALSE,excluded
949fafbb-2724-4bb3-b930-68082e55bd4e,M0161,,Weneker Blue,MAT-Lique,Bottle(700MI),0,0,0,,FALSE,excluded
9c32a5ef-5400-412e-befa-3961bf20541e,M0162,,Midori,MAT-Lique,Bottle(700MI),"1,121.47",0,0,,FALSE,excluded
902e882f-b612-4a58-9a40-128567626508,M0163,,Weneker Peach,MAT-Lique,Bottle(700MI),0,0,0,,FALSE,excluded
e3348117-d06d-4e0b-9cb0-aa282a3cb4d9,M0168,,Kwai Feh Lychee,MAT-Lique,Bottle(700MI),759.99,0,0,,FALSE,excluded
a11af912-c82c-429d-a326-fc118f482964,M0136,,milk,MAT-Other,bottle(2L),0,0,0,,FALSE,excluded
1df55c83-cfcd-42a3-807a-1ea78bf13632,M0190,,Geonbae Fresh,MAT-Other,bottle(360),0,0,0,,FALSE,excluded
c19f3afb-d1c9-40b0-8292-b1d26a4a82d4,M0191,,Fusion Seltzer lemon Berries,MAT-Other,Can(320),0,0,0,,FALSE,excluded
304c13cd-38d6-4989-bc71-10ee89a602cf,M0008,,Mekhong,MAT-Rum,bottle(750),0.68,0,0,,TRUE,excluded
b3f395c5-47ca-4a1c-a6e8-7873846ce4c2,M0009,,Zacapa Centenario 23 YR,MAT-Rum,bottle(750),"2,772.00",0,0,,FALSE,excluded
5ad0419d-5938-469c-9372-f42a932f4c13,M0110,,Bacardi,MAT-Rum,bottle(750),"1,290.00",0,0,,TRUE,active
7cf65b12-7d48-4251-83dd-96c4f5e968c6,M0152,,Nusa Canna,MAT-Rum,bottle(750),0,0,0,,FALSE,excluded
8b0cf02d-4ee7-4805-afb9-14f89c2fffd0,M0153,,Captian Mogan Dark rum,MAT-Rum,bottle(750),890.03,0,0,,FALSE,excluded
73505047-4ebc-4bca-8d11-a4a870b4cd79,M273,,pisco,MAT-Rum,Bottle(700MI),"1,284.01",0,0,,TRUE,excluded
6d16ec44-a5ad-4017-950b-f01ae2715e56,M274,,Canario Cachaca,MAT-Rum,bottle(1000),"1,037.40",0,0,,FALSE,excluded
3a5f2584-310b-439e-bee6-bbc64ffb4f68,M00058,,SINGLETON 15 YR,MAT-Singal Malt,Bottle (700MI),4.41,0,0,,FALSE,excluded
5463e6b9-08cd-41e5-8458-d4ccf022affa,M00079,,SINGLETON 12 YR,MAT-Singal Malt,Bottle (700MI),3.22,0,0,,FALSE,excluded
7410c223-5d50-42ca-8d26-201e232eeab6,M0043,,Balvenie 12 YR,MAT-Singal Malt,bottle(700),"3,592.19",0,0,,TRUE,active
